"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","nucleobase-containing compound catabolic process (GO:0034655)","2/41",0.000546845865811376,0.0347121620243017,0,0,68.1846153846154,512.158072766018,"SUPV3L1;DNASE1"
"2","cellular macromolecule catabolic process (GO:0044265)","2/53",0.00091347794800794,0.0347121620243017,0,0,52.1098039215686,364.677504211903,"SUPV3L1;DNASE1"
"3","chromatin maintenance (GO:0070827)","1/5",0.00424314398899693,0.060223872184757,0,0,312.171875,1705.22350136349,"SUPV3L1"
"4","mitochondrial RNA 3'-end processing (GO:0000965)","1/5",0.00424314398899693,0.060223872184757,0,0,312.171875,1705.22350136349,"SUPV3L1"
"5","mitochondrial RNA processing (GO:0000963)","1/8",0.00678090602009761,0.060223872184757,0,0,178.357142857143,890.652175215938,"SUPV3L1"
"6","regulation of leukocyte mediated cytotoxicity (GO:0001910)","1/9",0.00762547396542654,0.060223872184757,0,0,156.0546875,760.963355159609,"DNASE1"
"7","positive regulation of protein sumoylation (GO:0033235)","1/10",0.00846936628057759,0.060223872184757,0,0,138.708333333333,661.819014297417,"SAE1"
"8","regulation of myeloid leukocyte mediated immunity (GO:0002886)","1/11",0.00931258343412884,0.060223872184757,0,0,124.83125,583.759451394191,"DNASE1"
"9","mitochondrion morphogenesis (GO:0070584)","1/11",0.00931258343412884,0.060223872184757,0,0,124.83125,583.759451394191,"SUPV3L1"
"10","cell part morphogenesis (GO:0032990)","1/13",0.0109969941425308,0.060223872184757,0,0,104.015625,469.124334375642,"SUPV3L1"
"11","cellular component maintenance (GO:0043954)","1/13",0.0109969941425308,0.060223872184757,0,0,104.015625,469.124334375642,"SUPV3L1"
"12","DNA catabolic process (GO:0006308)","1/13",0.0109969941425308,0.060223872184757,0,0,104.015625,469.124334375642,"DNASE1"
"13","protein modification by small protein conjugation or removal (GO:0070647)","1/14",0.0118381886593293,0.060223872184757,0,0,96.0096153846154,425.939423953315,"SAE1"
"14","organic heteropentacyclic compound metabolic process (GO:1901376)","1/15",0.0126787099336331,0.060223872184757,0,0,89.1473214285714,389.380440824271,"ACY1"
"15","mycotoxin metabolic process (GO:0043385)","1/15",0.0126787099336331,0.060223872184757,0,0,89.1473214285714,389.380440824271,"ACY1"
"16","aflatoxin metabolic process (GO:0046222)","1/15",0.0126787099336331,0.060223872184757,0,0,89.1473214285714,389.380440824271,"ACY1"
"17","neutrophil activation (GO:0042119)","1/16",0.0135185584535394,0.0604359083805291,0,0,83.2,358.067160864267,"DNASE1"
"18","regulation of protein sumoylation (GO:0033233)","1/18",0.0151962391911868,0.0610578021958428,0,0,73.4044117647059,307.322786835323,"SAE1"
